frame_idx,time,track_id,nose_x,nose_y,nose_conf,left_ear_conf,right_ear_conf,left_eye_conf,right_eye_conf,left_shoulder_conf,right_shoulder_conf,shoulder_width,head_center_x,head_center_y,head_width,head_width_source,offset,offset_reason,threshold,side,prev_side,turn_recorded,turns_in_window,max_turns,detected,confidence
576,19.2,2,590.1,113.4,0.961,0.898,0.361,0.962,0.818,0.987,0.937,39.2,591.6,106.6,19.6,shoulders*0.5,-0.0769,ok,0.3,center,center,False,0,2,False,0.0
576,19.2,3,534.6,72.4,0.755,0.859,0.055,0.793,0.227,0.92,0.857,5.7,534.6,72.4,2.9,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
576,19.2,4,579.1,34.6,0.898,0.897,0.122,0.938,0.598,0.977,0.887,42.1,579.4,29.1,21.0,shoulders*0.5,-0.012,ok,0.3,center,center,False,0,2,False,0.0
576,19.2,5,513.2,212.6,0.673,0.902,0.104,0.746,0.098,0.987,0.892,53.5,513.2,212.6,26.8,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
577,19.23,1,593.7,439.8,0.374,0.975,0.096,0.522,0.015,0.998,0.95,73.7,,,36.9,shoulders*0.5,,head_yaw_offset=None,0.3,none,none,False,0,2,False,0.0
577,19.23,2,590.0,113.4,0.961,0.899,0.358,0.961,0.815,0.987,0.938,39.0,591.5,106.6,19.5,shoulders*0.5,-0.0789,ok,0.3,center,center,False,0,2,False,0.0
577,19.23,3,534.6,72.4,0.753,0.858,0.055,0.792,0.226,0.919,0.856,5.7,534.6,72.4,2.8,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
577,19.23,4,579.1,34.6,0.898,0.897,0.122,0.938,0.597,0.977,0.886,42.1,579.4,29.1,21.0,shoulders*0.5,-0.0119,ok,0.3,center,center,False,0,2,False,0.0
577,19.23,5,513.3,212.6,0.673,0.902,0.105,0.746,0.098,0.987,0.892,53.6,513.3,212.6,26.8,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
578,19.27,1,593.7,439.8,0.374,0.975,0.096,0.522,0.015,0.998,0.95,73.7,,,36.9,shoulders*0.5,,head_yaw_offset=None,0.3,none,none,False,0,2,False,0.0
578,19.27,2,590.0,113.4,0.961,0.899,0.358,0.961,0.815,0.987,0.938,39.0,591.5,106.6,19.5,shoulders*0.5,-0.0789,ok,0.3,center,center,False,0,2,False,0.0
578,19.27,3,534.6,72.4,0.753,0.858,0.055,0.792,0.226,0.919,0.856,5.7,534.6,72.4,2.8,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
