behavior_en,behavior_vi
body_turn,Xoay người
danger_zone,Vùng nguy hiểm
hand_in_zone,Đưa tay vào vùng
hand_shake_object,Lắc tay
hand_snatch_object,Giật lấy vật thể
hand_to_head,Đưa tay lên đầu
head_shake,Lắc đầu
head_turn,Quay đầu
head_turn_away,Quay mặt
leave_zone,Rời khỏi vùng
move_1_step,Di chuyển

