frame_idx,timestamp,track_id,x1,y1,x2,y2,conf,kp0_x,kp0_y,kp0_conf,kp1_x,kp1_y,kp1_conf,kp2_x,kp2_y,kp2_conf,kp3_x,kp3_y,kp3_conf,kp4_x,kp4_y,kp4_conf,kp5_x,kp5_y,kp5_conf,kp6_x,kp6_y,kp6_conf,kp7_x,kp7_y,kp7_conf,kp8_x,kp8_y,kp8_conf,kp9_x,kp9_y,kp9_conf,kp10_x,kp10_y,kp10_conf,kp11_x,kp11_y,kp11_conf,kp12_x,kp12_y,kp12_conf,kp13_x,kp13_y,kp13_conf,kp14_x,kp14_y,kp14_conf,kp15_x,kp15_y,kp15_conf,kp16_x,kp16_y,kp16_conf
2,0.2857,4,777.56,470.22,845.0,890.0,0.4244,832.6,613.91,0.0564,834.27,600.95,0.0713,833.21,600.57,0.0398,834.62,617.96,0.1105,841.38,618.45,0.0594,830.14,751.05,0.2838,837.63,758.55,0.1035,827.5,874.2,0.102,831.5,885.45,0.0151,807.45,876.5,0.0508,814.23,883.06,0.0185,830.72,853.6,0.0166,836.61,857.4,0.0096,824.03,795.95,0.0372,829.94,792.46,0.018,830.16,860.2,0.0093,823.41,856.03,0.0046
2,0.2857,5,575.33,0.52,651.96,136.55,0.4122,601.92,23.41,0.9871,607.16,17.17,0.9885,597.65,18.23,0.9046,621.03,14.67,0.9649,593.32,17.87,0.1073,637.34,40.92,0.9986,591.43,41.66,0.9876,646.1,84.37,0.9872,579.93,78.94,0.8117,608.72,80.16,0.9566,578.11,76.37,0.7167,625.86,116.4,0.9377,594.14,114.68,0.871,624.56,157.38,0.2202,581.59,155.08,0.1218,627.89,187.71,0.0312,586.67,184.14,0.0186
3,0.4286,1,513.64,310.84,740.69,873.78,0.8815,573.13,395.2,0.0521,570.38,386.38,0.0909,585.42,380.77,0.0114,581.61,392.41,0.8287,641.56,376.73,0.5871,599.84,485.6,0.9984,688.34,446.71,0.9838,594.48,601.18,0.9956,709.96,536.6,0.4261,558.49,583.08,0.9658,635.0,562.41,0.1216,638.75,645.92,0.9971,700.62,625.63,0.9906,661.81,738.59,0.9847,691.15,700.65,0.962,700.35,827.86,0.9537,717.82,791.06,0.9547
3,0.4286,2,631.76,137.29,802.1,681.36,0.7609,641.13,198.75,0.0635,638.9,190.82,0.142,652.72,186.56,0.0072,651.61,195.44,0.9263,705.19,183.14,0.2879,692.39,260.33,0.998,739.72,231.96,0.951,694.81,364.35,0.9857,762.83,320.44,0.159,683.24,445.08,0.9215,728.14,396.74,0.0714,716.07,427.83,0.9946,754.38,410.2,0.9834,718.38,544.2,0.98,759.19,516.82,0.9665,742.0,643.44,0.9517,770.26,611.35,0.9674
3,0.4286,5,577.79,0.73,649.57,127.29,0.5187,601.98,23.16,0.9855,607.26,16.96,0.9873,597.67,17.97,0.8937,621.05,14.67,0.9637,593.3,17.76,0.0987,637.12,41.02,0.9985,591.92,42.03,0.9864,646.21,83.66,0.9863,581.07,78.92,0.8038,608.32,79.62,0.9549,579.5,75.87,0.7143,625.47,117.46,0.9305,594.18,115.92,0.855,624.03,163.93,0.1782,584.66,161.91,0.0991,626.59,194.95,0.0234,588.76,191.86,0.0143
4,0.5714,1,514.36,308.03,742.36,873.99,0.883,573.95,393.21,0.057,571.59,384.31,0.098,586.08,378.71,0.0124,582.76,390.69,0.8176,641.4,374.94,0.5734,598.57,484.96,0.9985,688.57,445.99,0.9824,593.4,600.44,0.9952,707.49,534.54,0.3896,558.29,583.22,0.9612,625.22,554.25,0.1082,637.37,646.74,0.9971,699.9,626.2,0.9902,662.91,738.42,0.9836,692.36,698.55,0.9608,700.02,828.4,0.9483,718.29,787.43,0.9551
4,0.5714,2,637.02,129.52,807.71,678.71,0.8913,650.09,185.15,0.0664,648.28,178.16,0.1233,661.03,173.49,0.0116,659.69,183.64,0.8773,709.74,170.54,0.4078,695.26,249.02,0.9986,745.84,220.27,0.9533,698.43,351.96,0.9945,767.53,308.0,0.1766,683.67,431.51,0.9669,723.21,374.45,0.0746,721.75,408.32,0.9955,761.79,391.29,0.9826,724.77,524.86,0.9834,761.8,497.63,0.963,748.27,633.89,0.9729,770.56,602.84,0.9778
4,0.5714,5,578.64,0.69,649.41,124.58,0.4533,601.64,23.79,0.9898,606.68,17.54,0.9912,597.33,18.68,0.9082,620.66,14.8,0.9715,593.16,18.29,0.0838,636.96,40.99,0.9987,592.96,42.17,0.9878,646.03,83.69,0.9877,582.49,78.97,0.8053,608.9,79.85,0.958,579.85,76.52,0.7136,624.81,118.02,0.9434,594.36,116.52,0.8789,623.69,166.16,0.2009,586.59,164.06,0.1162,626.11,197.38,0.0271,589.87,193.95,0.0174
5,0.7143,1,514.25,309.38,741.72,873.96,0.8952,569.25,395.36,0.0588,566.86,386.14,0.1038,581.96,380.97,0.0113,580.53,391.19,0.8194,639.05,376.23,0.5072,598.16,485.55,0.9986,687.62,445.91,0.9816,594.15,599.91,0.9953,707.02,529.21,0.371,555.48,582.48,0.9665,620.92,546.27,0.1193,639.04,646.63,0.9973,700.66,625.41,0.9895,663.54,737.91,0.9858,692.05,696.02,0.9606,700.62,829.58,0.9542,718.46,783.09,0.9584
5,0.7143,2,649.29,113.22,816.81,657.22,0.8907,666.78,177.39,0.0677,664.02,169.07,0.0971,677.25,164.7,0.0114,675.04,169.59,0.8797,725.43,158.46,0.478,703.87,234.55,0.9979,763.97,210.11,0.982,703.31,338.06,0.9921,795.35,290.62,0.307,692.18,414.65,0.9616,753.6,346.31,0.0839,728.95,394.18,0.9968,773.59,378.98,0.9913,736.31,507.89,0.9903,774.84,474.67,0.977,755.47,613.72,0.9808,789.38,572.98,0.9842
5,0.7143,5,557.84,0.21,677.28,213.05,0.6042,601.65,22.54,0.9647,606.75,17.6,0.972,597.85,18.07,0.8209,619.58,15.01,0.9149,595.09,16.78,0.1151,637.69,40.12,0.995,593.91,42.12,0.9547,642.44,85.01,0.9926,579.16,77.66,0.5685,611.48,82.26,0.9771,576.57,82.2,0.445,634.87,130.07,0.9821,604.03,129.47,0.9232,639.71,203.26,0.8979,603.81,197.46,0.4327,644.68,266.96,0.8016,610.84,262.67,0.3715
